;days;values;redimentos
0;2022-04-25;38.19;0.3173469747
1;2022-03-22;40.1;0.3173469747
2;2021-10-22;50.67;0.3647066237
3;2021-09-22;46.82;0.3531144761
4;2021-06-22;44.61;0.223036053
5;2021-03-19;49.5;0.1109866759
6;2021-02-23;52.0;0.1233280339
7;2020-12-21;53.55;0.129500205
8;2020-11-23;48.35;0.129500204
9;2020-09-22;52.14;0.1319120763
10;2020-08-21;56.0;0.1603423353
11;2020-07-21;62.8;0.1751825624
12;2020-06-22;58.0;0.1945547956
13;2020-05-22;49.0;0.2350826696
14;2020-04-23;50.0;0.2791848594
15;2020-03-20;42.1;0.24234679
16;2020-02-21;69.78;0.31076196
17;2020-01-22;69.45;0.3091697874
18;2019-12-20;72.9;0.3138585382
19;2019-11-25;73.0;0.3954625037
20;2019-06-24;71.0;0.4481022502
21;2019-05-22;78.0;0.4276763134
