;days;values;redimentos
0;2021-12-15;9.3;
1;2021-12-16;9.58;
2;2021-12-17;9.6;
3;2021-12-20;9.59;
4;2021-12-22;9.52;
5;2021-12-23;9.55;
6;2021-12-27;9.69;
7;2021-12-28;9.6;
8;2021-12-29;9.8;
9;2021-12-30;9.67;
10;2022-01-03;9.3;
11;2022-01-04;9.4;
12;2022-01-05;9.59;
13;2022-01-06;9.6;
14;2022-01-07;9.79;
15;2022-01-10;9.68;
16;2022-01-11;9.71;
17;2022-01-12;9.79;
18;2022-01-13;9.92;
19;2022-01-14;9.9;
20;2022-01-17;9.82;
21;2022-01-18;9.84;
22;2022-01-19;9.8;
23;2022-01-20;9.53;
24;2022-01-21;9.57;
25;2022-01-24;9.7;
26;2022-01-25;9.72;
27;2022-01-26;9.9;
28;2022-01-27;9.75;
29;2022-01-28;9.66;
30;2022-01-31;9.72;
31;2022-02-01;9.72;
32;2022-02-02;9.85;
33;2022-02-03;9.83;
34;2022-02-04;9.89;
35;2022-02-07;10.0;
36;2022-02-08;9.96;
37;2022-02-09;10.01;
38;2022-02-10;9.93;
39;2022-02-11;9.92;
40;2022-02-14;9.99;
41;2022-02-15;9.98;
42;2022-02-16;10.15;
43;2022-02-17;10.18;
44;2022-02-18;10.12;
45;2022-02-21;10.02;
46;2022-02-22;9.93;
47;2022-02-23;9.96;
48;2022-02-24;9.87;
49;2022-02-25;9.7;
50;2022-03-02;9.6;
51;2022-03-03;9.66;
52;2022-03-04;9.68;
53;2022-03-07;9.8;
54;2022-03-08;9.72;
55;2022-03-09;9.85;
56;2022-03-10;9.78;
57;2022-03-11;9.74;
58;2022-03-14;9.75;
59;2022-03-15;9.73;
60;2022-03-16;9.75;
61;2022-03-17;9.73;
62;2022-03-18;9.84;
63;2022-03-21;9.71;
64;2022-03-22;9.8;
65;2022-03-23;9.9;
66;2022-03-24;9.91;
67;2022-03-25;9.91;
68;2022-03-28;9.87;
69;2022-03-29;9.86;
70;2022-03-30;9.87;
71;2022-03-31;9.87;
72;2022-04-01;10.0;
73;2022-04-04;10.19;
74;2022-04-05;10.01;
75;2022-04-06;10.13;
76;2022-04-07;10.12;
77;2022-04-08;10.18;
78;2022-04-11;10.21;
79;2022-04-12;10.05;
80;2022-04-13;10.21;
81;2022-04-14;10.19;
82;2022-04-18;10.28;
83;2022-04-19;10.58;
84;2022-04-20;10.47;
85;2022-04-22;10.53;
86;2022-04-25;10.45;
87;2022-04-26;10.44;
88;2022-04-27;10.15;
89;2022-04-28;10.15;
90;2022-04-29;10.39;
91;2022-05-02;10.27;
92;2022-05-03;10.25;
93;2022-05-04;10.33;
94;2022-05-05;10.23;
95;2022-05-06;10.15;
96;2022-05-09;10.16;
97;2022-05-10;10.19;
98;2022-05-11;10.09;
99;2022-05-12;10.12;
100;2022-05-13;10.35;
101;2022-05-16;10.17;
102;2022-05-17;9.98;
103;2022-05-18;10.14;
104;2022-05-19;9.97;
105;2022-05-20;9.98;
106;2022-05-23;10.0;
107;2022-05-24;10.04;
108;2022-05-25;10.06;
109;2022-05-26;10.02;
110;2022-05-27;10.02;
111;2022-05-30;10.03;
112;2022-05-31;10.06;
113;2022-06-01;9.94;
114;2022-06-02;9.95;
115;2022-06-06;9.97;
116;2022-06-07;9.98;
117;2022-06-09;9.94;
118;2022-06-10;9.96;
119;2022-06-13;9.96;
120;2022-06-14;9.95;
121;2022-06-15;9.89;
122;2022-06-17;9.93;
123;2022-06-20;9.94;
124;2022-06-21;10.0;
125;2022-06-22;9.89;
126;2022-06-23;9.95;
127;2022-06-27;10.05;
128;2022-06-28;9.93;
129;2022-06-29;10.06;
130;2022-06-30;10.19;
131;2022-07-04;10.0;
132;2022-07-05;10.18;
133;2022-07-06;10.17;
134;2022-07-07;10.15;
135;2022-07-08;10.08;
136;2022-07-11;10.17;
137;2022-07-12;10.03;
138;2022-07-13;10.02;
139;2022-07-14;10.14;
140;2022-07-15;10.3;
141;2022-07-18;10.26;
142;2022-07-19;10.35;
143;2022-07-20;10.3;
144;2022-07-21;10.39;
145;2022-07-22;10.26;
146;2022-07-25;10.25;
147;2022-07-26;10.2;
148;2022-07-27;10.19;
149;2022-07-28;10.27;
150;2022-08-02;10.24;
151;2022-08-03;10.56;
152;2022-08-04;10.7;
153;2022-08-05;10.7;
154;2022-08-08;10.51;
155;2022-08-09;10.95;
156;2022-08-10;10.63;
157;2022-08-11;10.51;
158;2022-08-15;10.79;
159;2022-08-16;10.6;
160;2022-08-17;10.37;
161;2022-08-18;10.4;
162;2022-08-19;10.25;
163;2022-08-22;10.3;
164;2022-08-23;10.46;
165;2022-08-24;10.63;
166;2022-08-25;10.7;
167;2022-08-26;10.84;
168;2022-08-29;10.9;
169;2022-08-30;11.24;
170;2022-08-31;11.02;
171;2022-09-01;11.0;
172;2022-09-02;10.86;
173;2022-09-05;10.9;
174;2022-09-06;10.92;
175;2022-09-08;10.59;
176;2022-09-12;10.69;
177;2022-09-13;10.44;
178;2022-09-14;10.35;
179;2022-09-15;10.08;
180;2022-09-16;10.0;
181;2022-09-19;10.07;
182;2022-09-20;10.02;
