;days;values;redimentos
0;2022-09-15;7.6;0.075
1;2022-07-14;6.99;0.07
2;2022-06-14;7.24;0.069
3;2022-05-13;7.01;0.068
4;2022-04-14;74.18;0.067
5;2022-03-15;69.0;0.066
6;2022-02-14;75.39;0.065
7;2022-01-14;79.75;0.07
8;2021-12-14;78.58;0.07
9;2021-11-16;74.11;0.07
10;2021-10-15;80.9;0.07
11;2021-09-15;82.55;0.07
12;2021-08-13;85.33;0.07
13;2021-07-15;93.89;0.075
14;2021-06-15;97.0;0.087
15;2021-05-14;97.51;0.08
16;2021-04-15;96.17;0.073
17;2021-03-12;96.7;0.077
18;2021-02-12;97.22;0.073
19;2021-01-15;96.24;0.07
20;2020-12-14;94.79;0.08
21;2020-11-13;92.95;0.07
22;2020-10-15;96.99;0.07
23;2020-09-15;96.0;0.07
24;2020-08-14;96.0;0.07
25;2020-07-15;95.47;0.08
26;2020-06-15;97.99;0.0675
27;2020-05-15;84.1;0.065
28;2020-04-14;82.65;0.065
29;2020-03-13;89.9;0.07
